465,disappoint,を失望させる
466,expand,拡大する
467,preserve,を保護する
468,struggle,もがく
469,arrange,手はずを整える
470,disturb,をさまたげる
471,employ,を雇う
472,engage,に従事する
473,abandon,を捨てる
474,display,を展示する
475,encounter,に偶然出会う
476,amuse,を楽しませる
477,bother,に面倒をかける
478,concentrate,集中する
479,adapt,を適応させる
480,puzzle,を当惑させる
481,appeal,(理性・感情など)に訴える
482,combine,を結合させる
483,delay,を遅らせる
484,repair,を修理する
485,fascinate,を夢中にさせる
486,pardon,を許す
487,import,を輸入する
488,remark,述べる
489,reserve,を予約する
490,amaze,を驚嘆させる
491,frighten,をおびえさせる
492,release,を解放する
493,rent,を借りる
494,recover,回復する
495,suspect,ではないかと思う
496,deliver,を配達する
497,identify,の正体をつきとめる
498,locate,位置する
499,manufacture,を製造する
500,occupy,を占める
501,own,を所有している
502,expose,にさらす
503,translate,を翻訳する
504,cure,を治療する
505,perceive,に気づく
506,adjust,慣れる
507,alarm,をぎょっとさせる
508,assist,手伝う
509,freeze,凍りつく
510,spoil,を台無しにする
511,shift,を変える
512,embarrass,恥ずかしい思いをさせる
513,approve,賛成する
514,weigh,の重さがある
515,stretch,を広げる
516,participate,に参加する
517,exhibit,を展示する
518,owe,のおかげだ
519,celebrate,を祝う
520,decorate,を装飾する
521,forgive,を許す
522,seat,座っている
523,injure,を傷つける
524,sew,を縫う
525,result,結果
526,feature,特徴
527,society,社会
528,wheel,車輪
529,value,価値
530,effect,効果
531,individual,個人
532,influence,影響
533,fee,料金
534,rate,割合
535,sign,兆候
536,service,事業
537,advance,前進
538,laughter,笑い
539,material,物質
540,industry,工業
541,attempt,試み
542,trade,貿易
543,progress,進歩
544,excuse,言い訳
545,custom,習慣
546,passage,一節
547,economy,経済
548,track,足跡
549,transportation,交通機関
550,official,役人
551,sight,見ること
552,taste,味
553,range,範囲
554,appointment,約束
555,patient,患者
556,project,計画
557,favor,好意
558,appearance,外見
559,risk,危険
560,benefit,利益
561,resident,住民
562,relative,親戚
563,region,地域
564,characteristic,特徴
565,pain,苦痛
566,twin,双子の一方
567,occasion,場合
568,principle,原則
569,department,部門
570,duty,義務
571,scene,場面
572,jam,渋滞
573,spirit,精神
574,medium,手段
575,mass,一般大衆
576,audience,観客
577,element,要素
578,climate,気候
579,revolution,革命
580,quarter,4分の1
581,furniture,家具
582,brain,脳
583,atmosphere,大気
584,property,財産
585,reward,報酬
586,security,安全
587,delight,大喜び
588,desert,砂漠/を放棄する/見捨てる
589,background,背景/経歴
590,trend,傾向
591,vote,投票
592,impact,影響
593,institution,機関
594,interaction,交流
595,alternative,代わりのもの
596,harm,害
597,agency,代理店
598,capacity,能力
599,minister,大臣
600,volunteer,ボランティア
601,access,利用する権利
602,quantity,量
603,branch,枝/分野
604,common,共通の
605,rough,荒い/大ざっぱな
606,likely,ありそうな/可能性が高い
607,serious,深刻な
608,particular,特有の
609,available,手に入る/利用出来る
610,bilingual,二言語使用の
611,ready,用意ができた
612,correct,正しい
613,familiar,くわしい
614,physical,肉体の
615,worth,価値がある
616,involved,に関係している
617,fantastic,すばらしい
618,private,個人の
619,obvious,明白な
620,native,母国の
621,complex,複雑な
622,willing,する気がある
623,current,最新の
624,male,男の
625,proper,適切な
626,capable,する能力がある
627,independent,独立した
628,positive,積極的な
